region_code,region_name,geographic_level,state,year,year_range,number_of_non_employing_businesses,number_of_employing_businesses_1_4_employees,number_of_employing_businesses_5_19_employees,number_of_employing_businesses_20_or_more_employees,total_number_of_businesses,number_of_non_employing_business_entries,number_of_employing_business_entries_1_4_employees,number_of_employing_business_entries_5_19_employees,number_of_employing_business_entries_20_or_more_employees,total_number_of_business_entries,number_of_non_employing_business_exits,number_of_employing_business_exits_1_4_employees,number_of_employing_business_exits_5_19_employees,number_of_employing_business_exits_20_or_more_employees,total_number_of_business_exits,agriculture_forestry_and_fishing,mining,manufacturing,electricity_gas_water_and_waste_services,construction,wholesale_trade,retail_trade,accommodation_and_food_services,transport_postal_and_warehousing,information_media_and_telecommunications,financial_and_insurance_services,rental_hiring_and_real_estate_services,professional_scientific_and_technical_services,administrative_and_support_services,public_administration_and_safety,education_and_training,health_care_and_social_assistance,arts_and_recreation_services,other_services,currently_unknown,number_of_businesses_with_turnover_of_zero_to_less_than_50k,number_of_businesses_with_turnover_of_50k_to_less_than_200k,number_of_businesses_with_turnover_of_200k_to_less_than_2m,number_of_businesses_with_turnover_of_2m_to_less_than_5m,number_of_businesses_with_turnover_of_5m_to_less_than_10m,number_of_businesses_with_turnover_of_10m_or_more,number_of_business_entries_with_turnover_of_zero_to_less_than_50k,number_of_business_entries_with_turnover_of_50k_to_less_than_200k,number_of_business_entries_with_turnover_of_200k_to_less_than_2m,number_of_business_entries_with_turnover_of_2m_to_less_than_5m,number_of_business_entries_with_turnover_of_5m_to_less_than_10m,number_of_business_entries_with_turnover_of_10m_or_more,number_of_business_exits_with_turnover_of_zero_to_less_than_50k,number_of_business_exits_with_turnover_of_50k_to_less_than_200k,number_of_business_exits_with_turnover_of_200k_to_less_than_2m,number_of_business_exits_with_turnover_of_2m_to_less_than_5m,number_of_business_exits_with_turnover_of_5m_to_less_than_10m,number_of_business_exits_with_turnover_of_10m_or_more,private_sector_houses,private_sector_dwellings_excluding_houses,total_private_sector_dwelling_units,total_dwelling_units,value_of_private_sector_houses,value_of_private_sector_dwellings_excluding_houses,total_value_of_private_sector_dwelling_units,value_of_residential_building,value_of_non_residential_building,value_of_total_building,number_of_established_house_transfers,median_price_of_established_house_transfers,number_of_attached_dwelling_transfers,median_price_of_attached_dwelling_transfers,debtors_entering_business_related_personal_insolvencies,debtors_entering_non_business_related_personal_insolvencies,total_debtors_entering_personal_insolvencies,managers,professionals,technicians_and_trades_workers,community_and_personal_service_workers,clerical_and_administrative_workers,sales_workers,machinery_operators_and_drivers,labourers,debtors_with_other_or_unknown_occupations,area_of_holding_total_area,dairy_cattle_total,meat_cattle_total,sheep_and_lambs_total,pigs_total,meat_chickens_total,broadacre_crops_total_area,vegetables_total_area,orchard_fruit_trees_and_nut_trees_total_area,agricultural_production_total_gross_value,crops_total_gross_value,livestock_slaughtered_and_other_disposals_total_gross_value,agriculture_forestry_and_fishing_pct,mining_pct,manufacturing_pct,electricity_gas_water_and_waste_services_pct,construction_pct,wholesale_trade_pct,retail_trade_pct,accommodation_and_food_services_pct,transport_postal_and_warehousing_pct,information_media_and_telecommunications_pct,financial_and_insurance_services_pct,rental_hiring_and_real_estate_services_pct,professional_scientific_and_technical_services_pct,administrative_and_support_services_pct,public_administration_and_safety_pct,education_and_training_pct,health_care_and_social_assistance_pct,arts_and_recreation_services_pct,other_services_pct,industry_of_employment_inadequately_described_or_not_stated_pct,total_persons_employed_aged_15_years_and_over,houses_additions,houses_removals,houses_total,townhouses_additions,townhouses_removals,townhouses_total,apartments_additions,apartments_removals,apartments_total,total_dwelling_additions,total_dwelling_removals,total_dwellings
AUS,Australia,national,AUS,2011,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388994482.0,2512921.0,23973058.0,69933468.0,2257779.0,75494429.0,,,,,,,2.5,1.8,9.0,1.1,8.2,4.0,10.5,6.5,4.8,1.8,3.8,1.6,7.3,3.2,6.9,8.0,11.6,1.5,3.8,2.3,10058325.0,,,,,,,,,,,,
AUS,Australia,national,AUS,2016,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8082.0,22029.0,30107.0,2962.0,2562.0,4534.0,3359.0,3702.0,2609.0,3271.0,3862.0,3258.0,371078257.0,2665074.0,22306275.0,67543092.0,2294245.0,90052117.0,22012205.0,,,55994.0,27341.6,20622.5,2.5,1.7,6.4,1.1,8.5,2.9,9.9,6.9,4.7,1.7,3.6,1.7,7.3,3.4,6.7,8.7,12.6,1.7,3.7,4.4,10683844.0,,,,,,,,,,,,
AUS,Australia,national,AUS,2017,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7551.0,23336.0,30889.0,3038.0,2689.0,4742.0,3643.0,3846.0,2726.0,3213.0,3853.0,3143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113258.0,18542.0,7279135.0,31729.0,480.0,1261457.0,73838.0,564.0,1464325.0,218884.0,19586.0,10022775.0
AUS,Australia,national,AUS,2018,2017-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319481.0,550000.0,157331.0,534995.0,7572.0,24722.0,32299.0,3211.0,3082.0,4811.0,3931.0,3961.0,2802.0,3522.0,4119.0,2862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113930.0,21657.0,7371408.0,33346.0,919.0,1293884.0,66330.0,605.0,1530050.0,213652.0,23181.0,10213246.0
AUS,Australia,national,AUS,2019,2018-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110689.0,74655.0,185344.0,187751.0,42838.0,24049.0,66887.0,69192.0,47331.0,116523.0,279464.0,545000.0,127333.0,500000.0,6895.0,20591.0,27481.0,2827.0,2725.0,4113.0,3207.0,3340.0,2327.0,2995.0,3760.0,2201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122142.0,20697.0,7472853.0,32571.0,712.0,1325743.0,60705.0,985.0,1589770.0,215556.0,22394.0,10406408.0
AUS,Australia,national,AUS,2020,2019-20,1441105.0,599516.0,213218.0,60609.0,2314448.0,,,,,,,,,,,171700.0,8002.0,83426.0,7604.0,394742.0,78963.0,138478.0,100585.0,201918.0,22609.0,107943.0,263973.0,300508.0,101560.0,7076.0,35150.0,149025.0,31991.0,106397.0,2798.0,613032.0,752765.0,779836.0,96209.0,34491.0,38115.0,,,,,,,,,,,,,104183.0,67613.0,171796.0,174528.0,41006.0,22652.0,63658.0,66174.0,52455.0,118628.0,293437.0,561000.0,140514.0,530000.0,5597.0,15480.0,21076.0,2228.0,2088.0,3090.0,2550.0,2445.0,1586.0,2274.0,2717.0,2103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105671.0,22123.0,7556401.0,27873.0,842.0,1352774.0,58921.0,1255.0,1647436.0,192514.0,24220.0,10574702.0
AUS,Australia,national,AUS,2021,2020-21,1410049.0,711364.0,220427.0,60414.0,2402254.0,254149.0,102564.0,7670.0,1097.0,365480.0,226996.0,41052.0,7965.0,1661.0,277674.0,173031.0,8036.0,86075.0,7961.0,411236.0,81047.0,147533.0,105861.0,196800.0,23602.0,113023.0,272123.0,314642.0,106892.0,7003.0,37141.0,159780.0,33704.0,114274.0,2490.0,689620.0,761346.0,782804.0,96227.0,34320.0,37937.0,154133.0,141475.0,65982.0,2398.0,725.0,767.0,141469.0,85375.0,45438.0,3203.0,1035.0,1154.0,145890.0,72227.0,218117.0,221974.0,56468.0,25522.0,81990.0,85417.0,55964.0,141382.0,402346.0,610000.0,198101.0,562950.0,2825.0,7806.0,10627.0,1125.0,985.0,1387.0,1202.0,1085.0,695.0,1105.0,1305.0,1745.0,387264588.8,2382840.5,22048333.2,68047401.8,2577596.9,111189113.0,26249248.2,127623.7,202486.1,70856.9,39932.1,22467.6,2.3,1.8,5.9,1.1,8.9,2.6,9.1,6.5,4.5,1.4,3.7,1.6,7.8,3.2,6.6,8.8,14.5,1.6,3.6,4.4,12049410.0,105525.0,22661.0,7639265.0,27296.0,703.0,1379367.0,49548.0,1325.0,1695659.0,182405.0,24689.0,10732418.0
AUS,Australia,national,AUS,2022,2021-22,1521428.0,727457.0,226968.0,63871.0,2539724.0,325373.0,106697.0,8915.0,1570.0,442555.0,228972.0,63292.0,10875.0,1946.0,305085.0,175079.0,8369.0,89237.0,8307.0,435288.0,81899.0,157574.0,110590.0,210075.0,24620.0,119722.0,285988.0,329244.0,117915.0,7497.0,40538.0,173752.0,36680.0,125209.0,2141.0,686701.0,813207.0,849402.0,108650.0,39182.0,42582.0,176038.0,182198.0,78686.0,3407.0,1074.0,1152.0,141469.0,85375.0,45438.0,3203.0,1035.0,1154.0,123404.0,74897.0,198301.0,202250.0,56241.0,28585.0,84826.0,88684.0,59625.0,148308.0,390743.0,720000.0,204540.0,590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116605.0,25986.0,7729884.0,23166.0,743.0,1401790.0,34213.0,487.0,1729385.0,174147.0,27216.0,10879349.0
AUS,Australia,national,AUS,2023,2022-23,1585693.0,703467.0,231259.0,69454.0,2589873.0,297302.0,99446.0,8359.0,1258.0,406365.0,297269.0,74347.0,12715.0,2061.0,386392.0,174471.0,8473.0,90174.0,8582.0,444419.0,82560.0,155755.0,110175.0,218662.0,24757.0,123266.0,290103.0,336214.0,120630.0,7488.0,40828.0,185260.0,37649.0,127986.0,2421.0,638893.0,845884.0,895806.0,117843.0,43729.0,47718.0,135042.0,186266.0,80056.0,3126.0,1023.0,852.0,180940.0,125241.0,72539.0,4892.0,1418.0,1362.0,106086.0,68594.0,174680.0,177641.0,55699.0,30878.0,86576.0,90489.0,69427.0,159916.0,310666.0,730000.0,168591.0,585000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,national,AUS,2024,2023-24,1663837.0,693558.0,232200.0,73403.0,2662998.0,325420.0,99864.0,9236.0,1498.0,436018.0,281059.0,66978.0,12673.0,2183.0,362893.0,172248.0,8589.0,90476.0,8767.0,452820.0,82037.0,156938.0,111654.0,237506.0,24885.0,129031.0,298772.0,344357.0,124039.0,7642.0,42083.0,199763.0,38486.0,131077.0,1828.0,644604.0,864086.0,931592.0,125445.0,46417.0,50854.0,147920.0,195992.0,86594.0,3547.0,1095.0,870.0,162505.0,124020.0,68862.0,4807.0,1354.0,1345.0,103971.0,56802.0,160773.0,163505.0,58374.0,27622.0,85996.0,90104.0,66114.0,156218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
