accreditation_code,station_name,state,postcode,installed_capacity_mw,fuel_source,accreditation_start_date,approval_date,search_name,search_query,latitude,longitude,geocoded_address,geocoded_place_name
SRPXQLO8,DONS FORT - SOLAR W SGU - QLD,QLD,4660.0,0.421,Solar,2025-10-21,2026-01-06,DONS FORT,"DONS FORT, QLD, Australia",-27.412197,153.1507987,"160 South St, Lytton QLD 4178",Fort Lytton National Park
SRPYNSK0,MINTUS COLES - SOLAR W SGU- NSW,NSW,2153.0,0.19,Solar,2025-12-09,2026-01-06,MINTUS COLES,"MINTUS COLES, NSW, Australia",-33.8127291,151.0050207,"Suite 506/55 Phillip St, Parramatta NSW 2150",Mintus
SRPXQLP1,VENTORA - ACACIA RIDGE - SOLAR - QLD,QLD,4110.0,0.162,Solar,2025-11-17,2026-01-06,VENTORA - ACACIA RIDGE,"VENTORA - ACACIA RIDGE, QLD, Australia",-27.7494814,153.2492877,"119 Burnside Rd, Stapylton QLD 4207",VENTORA Glass
SRPYNSK3,BAYSIDE AGED CARE - SOLAR - MORISSET - NSW,NSW,2264.0,0.14,Solar,2025-12-16,2026-01-08,BAYSIDE AGED CARE,"BAYSIDE AGED CARE, NSW, Australia",-33.1055405,151.505934,"136 Marconi Rd, Bonnells Bay NSW 2264","Bolton Clarke Bayside, Bonnells Bay - Residential Aged Care"
SRPVWAQ0,MATRIX COMPOSITES AND ENGINEERING PTY LTD - SOLAR - WA,WA,6166.0,0.85,Solar,2025-12-17,2026-01-08,MATRIX COMPOSITES AND ENGINEERING PTY LTD,"MATRIX COMPOSITES AND ENGINEERING PTY LTD, WA, Australia",-32.1594685,115.7732207,"150 Quill Wy, Henderson WA 6166",Matrix Composites & Engineering
SRPXQLP4,ACCENSI NARANGBA - SOLAR - QLD,QLD,4504.0,0.199,Solar,2025-11-24,2026-01-09,ACCENSI NARANGBA,"ACCENSI NARANGBA, QLD, Australia",-27.1974991,153.0022531,"60-76 Potassium St, Narangba QLD 4504",Accensi
SRPXSA19,BUNGE PORT GILES - SOLAR - SA,SA,5583.0,0.47800000000000004,Solar,2025-12-11,2026-01-16,BUNGE PORT GILES,"BUNGE PORT GILES, SA, Australia",-35.0232825,137.7609995,"483 Hickeys Dr, Coobowie SA 5583",Viterra Port Giles
SRPVWAP2,HBF STADIUM CARPARK 4 PV SYSTEM - SOLAR W SGU - WA,WA,6010.0,0.259,Solar,2025-09-10,2026-01-16,HBF STADIUM CARPARK 4 PV SYSTEM,"HBF STADIUM CARPARK 4 PV SYSTEM, WA, Australia",-31.9523371,115.7840609,"100 Stephenson Ave, Mount Claremont WA 6010",Perth HPC Car Park 4
SRPYNSJ2,STOCKLAND M-PARK BUILDING C - SOLAR - NSW,NSW,2113.0,0.125,Solar,2025-11-06,2026-01-16,STOCKLAND M-PARK BUILDING C,"STOCKLAND M-PARK BUILDING C, NSW, Australia",-33.7801061,151.1254734,"11-17 Khartoum Rd, Macquarie Park NSW 2113",MPark - Stockland
SRPXVCU9,WAVERLEY GARDENS - SOLAR W SGU - VIC,VIC,3170.0,0.521,Solar,2025-10-03,2026-01-20,WAVERLEY GARDENS,"WAVERLEY GARDENS, VIC, Australia",-37.9361331,145.1891438,"271 Police Rd, Mulgrave VIC 3170",Waverley Gardens Shopping Centre
SRPXQLP3,THE BARRACKS - SOLAR W SGU - QLD,QLD,4000.0,0.302,Solar,2025-11-21,2026-01-21,THE BARRACKS,"THE BARRACKS, QLD, Australia",-27.465398999999998,153.013135,"61 Petrie Terrace, Brisbane City QLD 4000",The Barracks Shopping Centre
SRPXVCW5,ALTONA STAGE 1 & BESS - SOLAR - VIC,VIC,3018.0,1.179,Solar,2025-12-12,2026-01-22,ALTONA STAGE 1 & BESS,"ALTONA STAGE 1 & BESS, VIC, Australia",-37.863721,144.830519,"115 Civic Parade, Altona VIC 3018",Altona City Theatre
SRPYNSJ3,TABBITA-SOLAR-NSW,NSW,2652.0,7.157,Solar,2025-11-07,2026-01-22,TABBITA,"TABBITA, NSW, Australia",-34.10378,145.8457123,Tabbita NSW 2652,Tabbita
SRPXQLO3,CLV GUV VILLAGE - SOLAR W SGU - QLD,QLD,4215.0,0.248,Solar,2025-09-16,2026-01-23,CLV GUV VILLAGE,"CLV GUV VILLAGE, QLD, Australia",-27.9554491,153.38124249999998,"1/8 Tonga Pl, Parkwood QLD 4214",University Village
SRPYNSI3,BAULKHAM HILLS - SOLAR W SGU - NSW,NSW,2153.0,0.228,Solar,2025-10-16,2026-01-27,BAULKHAM HILLS,"BAULKHAM HILLS, NSW, Australia",-33.7619106,150.99292549999998,Baulkham Hills NSW 2153,Baulkham Hills
SRPVWAO8,RAAFA (ARK) - SOLAR - WA,WA,6149.0,0.30000000000000004,Solar,2025-08-25,2026-01-27,RAAFA (ARK),"RAAFA (ARK), WA, Australia",-32.0485854,115.855744,"2 Bull Creek Dr, Bull Creek WA 6149",RAAFA Alice Ross-King Care Centre
SRPXVCW2,CHARTER HALL-CL3030 DRYSTONE-SOLAR-VIC,VIC,3029.0,0.223,Solar,2025-11-26,2026-01-29,CHARTER HALL-CL3030 DRYSTONE,"CHARTER HALL-CL3030 DRYSTONE, VIC, Australia",-37.8101014,144.9685912,"Level 23/130 Lonsdale St, Melbourne VIC 3000",Charter Hall
SRPYNSI1,LEPPINGTON BP 3 & BESS - SOLAR W SGU - NSW,NSW,2179.0,0.783,Solar,2025-10-03,2026-01-29,LEPPINGTON BP 3 & BESS,"LEPPINGTON BP 3 & BESS, NSW, Australia",-33.970587,150.8129851,"1389 Camden Valley Wy, Leppington NSW 2179",bp Truckstop
SRPXSA17,WOOLWORTHS CFC ADELAIDE 8849 - SOLAR - SA,SA,5035.0,0.33,Solar,2025-12-10,2026-01-29,WOOLWORTHS CFC ADELAIDE 8849,"WOOLWORTHS CFC ADELAIDE 8849, SA, Australia",-34.9390946,138.5785229,"213 Railway Terrace, Keswick Terminal SA 5035",Woolworths Adelaide Central Cfc
SRPXSA21,YUMBAH AQUACULTURE LTD - SOLAR - SA,SA,5223.0,0.752,Solar,2026-01-16,2026-01-29,YUMBAH AQUACULTURE LTD,"YUMBAH AQUACULTURE LTD, SA, Australia",-34.9253865,138.62307479999998,"Suite 2/Level 2/69 Fullarton Rd, Kent Town SA 5067",Yumbah Aquaculture
SRPVAC42,40 CAMERON AVE - SOLAR - ACT,ACT,2617.0,0.185,Solar,2025-12-12,2026-02-11,40 CAMERON AVE,"40 CAMERON AVE, ACT, Australia",-35.241522,149.0713528,"40 Cameron Ave, Belconnen ACT 2617",40 Cameron Ave
SRPXQLQ6,BC WESTCOURT - SOLAR - QLD,QLD,4870.0,0.2,Solar,2026-01-23,2026-02-11,BC WESTCOURT,"BC WESTCOURT, QLD, Australia",-16.9309794,145.7521418,Westcourt QLD 4870,Westcourt
SRPXQLJ9,BUNNINGS CARSELDINE - SOLAR - QLD,QLD,4036.0,0.38,Solar,2026-02-04,2026-02-11,BUNNINGS CARSELDINE,"BUNNINGS CARSELDINE, QLD, Australia",-27.3319684,153.0099247,"26 Linkfield Rd, Bald Hills QLD 4036",Bunnings Carseldine
SRPXVCW1,GOODMAN AU744 LAWRENCE & HANSON - SOLAR - VIC,VIC,3194.0,0.101,Solar,2025-11-20,2026-02-11,GOODMAN AU744 LAWRENCE & HANSON,"GOODMAN AU744 LAWRENCE & HANSON, VIC, Australia",-37.8291344,144.9474948,"252 Normanby Rd, South Melbourne VIC 3006",Lawrence & Hanson Southbank
SRPYNSJ0,PORSCHE CENTRE PARRAMATTA - SOLAR - NSW,NSW,2142.0,0.04,Solar,2025-11-04,2026-02-11,PORSCHE CENTRE PARRAMATTA,"PORSCHE CENTRE PARRAMATTA, NSW, Australia",-33.8256431,151.0039111,"326 Church St, Granville NSW 2142",Porsche Centre Parramatta
SRPVTA30,UA ALDERGATE VILLAGE - SOLAR - TAS,TAS,7248.0,0.47900000000000004,Solar,2026-01-16,2026-02-11,UA ALDERGATE VILLAGE,"UA ALDERGATE VILLAGE, TAS, Australia",-41.3793423,147.124652,"3 Tallentire Rd, Newnham TAS 7248","Uniting AgeWell Newnham Community, Aldersgate Village"
