reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,scope1_tco2e,scope2_tco2e,total_emissions_tco2e,emission_intensity,grid_connected,grid,primary_fuel,important_notes,year_range,matched_name,matched_address,state_1,latitude,longitude
ACCIONA ENERGY OCEANIA PTY LTD,GUNNING WIND FARM,F,NSW,567719.0,157700.0,19.0,293.0,312.0,0.0019784400760938493,On,NEM,Wind,N/A,2014-15,Gunning Wind Farm,"Gunning NSW 2581, Australia",NSW,-34.6905625,149.4270092
ACCIONA ENERGY OCEANIA PTY LTD,ROYALLA SOLAR FARM,F,ACT,213115.0,59199.0,0.0,15.0,15.0,0.0002533826584908529,On,NEM,Solar,N/A,2014-15,Royalla Solar Farm,"Australian Capital Territory 2900, Australia",ACT,-35.4897929,149.14300179999998
ACCIONA ENERGY OCEANIA PTY LTD,WAUBRA WIND FARM,F,VIC,2461803.0,683834.0,77.0,1144.0,1221.0,0.0017855210475056812,On,NEM,Wind,N/A,2014-15,Waubra Wind Farm,"275 Harrisons Rd, Waubra VIC 3352, Australia",VIC,-37.3946388,143.6386011
ACCIONA ENERGY OCEANIA PTY LTD,CORPORATE TOTAL,C,N/A,3242637.0,900733.0,96.0,1452.0,1548.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
AGL ENERGY LIMITED,BANIMBOOLA HYDRO,F,VIC,137094.0,38082.0,5.0,17.0,22.0,0.0005777007510109763,On,NEM,Hydro,N/A,2014-15,Banimboola Hydroelectric Power Station,"Dartmouth VIC 3701, Australia",VIC,-36.5335771,147.4603458
AGL ENERGY LIMITED,BAYSWATER POWER STATION,F,NSW,50275548.0,13965430.0,12253123.0,8306.0,12261429.0,0.8779843513590344,On,NEM,Black Coal,N/A,2014-15,ACEREZ,"New England Hwy, Muswellbrook NSW 2333, Australia",NSW,-32.3838413,150.9522752
AGL ENERGY LIMITED,BOGONG POWER STATION,F,VIC,266917.0,74144.0,83.0,839.0,922.0,0.012435261113508848,On,NEM,Hydro,N/A,2014-15,Bogong Power Station,"Bogong VIC 3699, Australia",VIC,-36.8057885,147.22811579999998
AGL ENERGY LIMITED,BURRENDONG HYDRO,F,NSW,27428.0,7619.0,1.0,97.0,98.0,0.012862580391127445,On,NEM,Hydro,N/A,2014-15,Burrendong Dam,"Lake Burrendong NSW 2820, Australia",NSW,-32.668092699999995,149.1081077
AGL ENERGY LIMITED,CLOVER HYDRO,F,VIC,151368.0,42047.0,3.0,51.0,54.0,0.0012842771184626727,On,NEM,Hydro,N/A,2014-15,Clover Pipelines,"320 Hume Hwy, Craigieburn VIC 3064, Australia",VIC,-37.6150311,144.9479476
AGL ENERGY LIMITED,COOPERS COGENERATION,F,SA,91666.0,25463.0,19260.0,86.0,19346.0,0.7597690766995248,On,NEM,Gas,N/A,2014-15,Coopers Gap Wind Farm,"964 Niagara Rd, Boyneside QLD 4610, Australia",QLD,-26.732897,151.4721505
AGL ENERGY LIMITED,COPETON HYDRO,F,NSW,139785.0,38829.0,1.0,75.0,76.0,0.0019572999562182903,On,NEM,Hydro,N/A,2014-15,Copeton Dam,"Copeton Dam Rd, Copeton NSW 2359, Australia",NSW,-29.904755800000004,150.92393239999998
AGL ENERGY LIMITED,DARTMOUTH HYDRO,F,VIC,1608089.0,446691.0,0.0,727.0,727.0,0.0016275232767170146,On,NEM,Hydro,N/A,2014-15,Banimboola Hydroelectric Power Station,"Dartmouth VIC 3701, Australia",VIC,-36.5335771,147.4603458
AGL ENERGY LIMITED,EILDON HYDRO,F,VIC,710341.0,197317.0,20.0,153.0,173.0,0.000876761758996944,On,NEM,Hydro,N/A,2014-15,Rubicon Power Station,"Rubicon VIC 3712, Australia",VIC,-37.3271578,145.8605406
AGL ENERGY LIMITED,GLENBAWN HYDRO,F,NSW,42254.0,11737.0,0.0,16.0,16.0,0.001363210360398739,On,NEM,Hydro,N/A,2014-15,Lake Glenbawn,"Brush Hill Lookout Rd, Glenbawn NSW 2337, Australia",NSW,-32.0939757,150.9891361
